Date,Calories (kcal),Distance (m),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Biking duration (ms),Inactive duration (ms),Walking duration (ms),Running duration (ms),Light sleeping duration (ms),Deep sleeping duration (ms),Awake mid-sleeping duration (ms)
2019-08-16,2204.444971278629,4291.316825579866,0.2961366,32.5965162,0.3274721,32.61015,0.4011965518441644,3.0846571922302246,0.0,6780,,,,,57041365,7529387,240000,12600000,1680000,120000
2019-08-17,1756.846549048786,324.4190080165863,0.2963848,32.595905,0.3687917,32.6408983,0.6253635312327984,0.8672593832015991,0.3815467059612274,2057,,,,,75371890,597555,,,,
2019-08-18,1807.7325904684353,769.142503619194,0.2962783,32.6044236,0.3269691,32.6164683,0.9982217552863333,11.589485168457031,0.3225078284740448,2394,,,,,82525765,1331189,,,,
2019-08-19,1805.8422972224141,1177.216609954834,0.2963848,32.5943667,0.3622243,32.6208432,1.0312169792659145,12.286933898925781,0.2784676253795624,3492,,,,,80037420,1303968,,,,
2019-08-20,1841.2707164543465,1615.4772098064423,0.2962294,32.5767852,0.3214288,32.6102003,0.8035021007881572,2.6508195400238037,0.26683780550956726,4537,,,,,78656513,1847305,,,,
2019-08-21,1788.7604498431156,613.88573127985,-1.977287,30.0706319,0.3279949,32.6091313,0.5989211945121299,1.5882577896118164,0.26896345615386963,3314,,,,,71554167,1076146,,,,
2019-08-22,1879.0990532022345,1609.1745053690063,-1.97903,30.0706436,-1.9515378,30.1349323,0.7340955665811634,1.4366230964660645,0.26923131942749023,5723,,,,,71310256,2430899,,,,
2019-08-23,1883.265524646062,1920.6135819394005,0.2113501,32.5419117,0.3531462,32.6150489,0.7351069573176525,13.718377113342285,0.2667328119277954,4568,,,,,74001440,2493378,,,,
2019-08-24,1738.3876324348928,184.22123408317566,0.2967116,32.6089118,1.1243067,33.9817717,10.175005557815966,22.35593032836914,0.3301319181919098,1679,,,,,45030882,320737,,,,
2019-08-25,1809.4197787875205,640.3923880457878,0.296377,32.6009158,0.3293589,32.6123884,0.7385438105587331,1.65873384475708,0.3456786274909973,3393,,,,,80841866,1213853,76024,,,
2019-08-26,1885.6884515446282,2225.3320875167847,0.296377,32.5935867,0.3543873,32.6148116,0.9445363522457058,9.871342658996582,0.27189216017723083,3265,,,,,77756179,2392453,,,,
2019-08-27,1802.3336946687411,926.5876799225807,0.296377,32.5819256,0.3618435,32.6213791,0.6795599696018211,2.9472994804382324,0.28993281722068787,2369,,,,,79817943,1278760,,,,
